
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 2.2987237e+05; maximum gradient component mag 3.0513e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 82 -0.05311 -7.03776e+02 | 83 -0.00875  4.46350e+02 | 84  0.12670  2.16564e+03
 85  0.14533  1.18383e+03 | 86  0.19255  1.98004e+03 | 87  0.19812  1.95456e+03
 88  0.24085  3.25236e+03 | 89  0.08642 -9.91983e+01 | 90 -0.02756  6.64915e+00
 91 -0.07348  4.53409e+02 | 92 -0.00922 -9.63464e+02 | 93  0.03126  1.39875e+02
 94  0.01239 -8.30575e+02 | 95  0.06897  4.50233e+02 | 96 -0.01737 -6.85533e+02
 97  0.11920 -3.93771e+02 | 98  0.03536 -1.50134e+03 | 99  0.13165  9.58539e+02
100  0.01906 -1.53186e+03 |101 -0.03779 -1.81312e+03 |102  0.02098  8.30339e+02
103 -1.33292 -2.53762e+02 |104  0.81226 -1.11047e+04 |105 -0.89948  6.61631e+03
106  0.19260 -1.07987e+03 |107 -1.10092 -1.28892e+03 |108 -0.49260 -4.15158e+03
108 variables; iteration 100; function evaluation 128; phase 1
Function value 8.0546290e+03; maximum gradient component mag 9.7295e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.33188  1.60926e+02 |  2  0.03037 -3.11031e+02 |  3  0.32612 -4.78700e+01
  4  0.31355  4.72998e+01 |  5  0.25751 -6.17768e+01 |  6  0.23490  1.09155e+02
  7  0.25445  8.33350e+02 |  8  0.23950  1.21426e+03 |  9  0.07813 -2.07712e+01
 10  0.10109  1.13195e+02 | 11  0.13204  4.44570e+02 | 12  0.14334  6.96424e+02
 13 -0.00726 -1.44437e+01 | 14 -0.10108 -2.64306e+01 | 15  0.05803  1.39145e+02
 16  0.08979  3.92307e+02 | 17 -0.78094 -7.59181e-01 | 18 -0.30452 -1.73021e-01
 19  0.10878  7.55875e+02 | 20 -0.03944  2.67109e+01 | 21 -0.04489  2.36706e+01
 22  0.35929  7.11228e+02 | 23  0.13729  6.60896e+00 | 24  0.28881  5.50810e+02
 25 -0.34751 -5.09576e+01 | 26  0.05659 -9.07864e+01 | 27  0.25847  3.20852e+02
 28  0.09607 -1.50976e+02 | 29  0.24004  1.59714e+02 | 30  0.04222 -1.11894e+02
 31  0.16251 -1.32953e+01 | 32  0.19685  4.77560e+02 | 33  0.09208 -1.89576e+01
 34  0.04717 -7.43465e+01 | 35  0.11948  5.05012e+02 | 36  0.10791  4.66671e+02
 37  0.03757 -3.04489e+01 | 38  0.11472  7.24604e+02 | 39  0.09586  4.44101e+02
 40  0.08895  4.84326e+02 | 41 -0.06069 -3.67331e+01 | 42  0.02837  1.82348e+02
 43  0.05618  9.72948e+04 | 44  0.26569  1.59061e+04 | 45  0.10452  4.27262e+02
 46  0.16329  6.63989e+02 | 47  0.03164 -4.03885e+02 | 48  0.14745  1.78637e+03
 49 -0.00016 -3.18397e+02 | 50  0.07096  3.77181e+02 | 51  0.10367  1.60918e+03
 52  0.07252  8.03185e+02 | 53  0.17406  5.79890e+03 | 54 -0.05374 -5.45695e+02
 55  0.15438  3.56353e+03 | 56  0.07789  1.73843e+02 | 57  0.16851  2.63073e+03
 58  0.06911 -3.69559e+02 | 59  0.10944  3.07647e+02 | 60  0.18668  2.53535e+03
 61 -0.50238 -3.77979e+02 | 62  0.14501 -5.15341e+02 | 63  0.14822  2.06322e+02
 64  0.16668  5.19939e+02 | 65  0.18361  1.02827e+03 | 66  0.22986 -3.24483e+01
 67 -0.23079 -5.34757e+02 | 68 -1.17326  1.44552e+02 | 69 -0.81279 -1.60602e+02
 70 -0.75835 -1.98735e+02 | 71  0.13502 -4.54403e+04 | 72  0.04885 -1.28947e+04
 73  2.15055  1.02307e+02 | 74 -0.49685 -3.63741e+01 | 75 -0.55886  2.61799e+03
 76 -0.39333  1.24655e+04 | 77  0.03673  1.01365e+03 | 78 -0.05566  2.60784e+02
 79 -0.04366  2.19052e+02 | 80 -0.06440  1.64483e+03 | 81 -0.08073  1.21838e+03
 82 -0.00526  3.16075e+02 | 83 -0.01347 -4.98175e+02 | 84  0.10969  1.29593e+03
 85  0.11729  6.30147e+02 | 86  0.13290  7.27612e+02 | 87  0.10362  8.83425e+01
 88  0.11866  1.15381e+03 | 89  0.04423  1.49307e+02 | 90 -0.05327  6.94469e+02
 91 -0.05188  1.65252e+03 | 92  0.02677 -2.75478e+01 | 93  0.06043  3.53346e+02
 94  0.04621 -9.07500e+01 | 95  0.09026  5.82030e+02 | 96  0.00477 -4.23514e+02
 97  0.13084 -1.32743e+02 | 98  0.03983 -1.21920e+03 | 99  0.11187  6.06179e+02
100  0.01978 -9.04719e+02 |101 -0.01608 -6.98527e+02 |102  0.00442  6.34536e+01
103 -1.13484  5.28082e+01 |104  0.80253 -8.95750e+03 |105 -0.90137  1.90623e+03
106  0.16400 -5.57566e+02 |107 -1.11989 -1.29727e+03 |108 -0.52787 -3.74929e+03
108 variables; iteration 120; function evaluation 151; phase 1
Function value 6.0531983e+03; maximum gradient component mag -9.0112e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.31386 -2.34049e+02 |  2  0.30146 -3.47108e+02 |  3  0.33967 -2.97396e+02
  4  0.30196 -1.66277e+02 |  5  0.27186 -7.20540e+01 |  6  0.25499  1.41414e+02
  7  0.21322  8.38523e+01 |  8  0.19152 -2.02884e+01 |  9  0.08939 -8.31417e+01
 10  0.17565 -1.26691e+01 | 11  0.09234 -5.50852e+01 | 12  0.10770 -8.22019e+01
 13  0.03814 -5.85553e+01 | 14 -0.18024 -2.89709e+01 | 15  0.10019  9.73462e+01
 16 -0.04684  6.10334e-01 | 17 -1.63781  1.88924e+00 | 18 -0.24885 -1.50560e-01
 19  0.03019  5.73947e+01 | 20 -0.12008  1.89003e+00 | 21 -0.04909  9.55877e+00
 22  0.30927  2.11123e+02 | 23  0.11420 -4.09300e-01 | 24  0.18519  3.03626e+01
 25  0.22096  8.49529e+01 | 26  0.16415 -4.91017e+01 | 27  0.17456 -6.72711e+01
 28  0.15581 -9.12798e+01 | 29  0.17931  2.96175e+01 | 30  0.06196 -9.13477e+01
 31  0.15940  1.87932e+02 | 32  0.11250  2.05171e+01 | 33  0.10701  3.69496e+01
 34  0.11016  1.20827e+02 | 35  0.03364 -8.77611e+01 | 36  0.07516  9.85235e+00
 37  0.03593 -1.07457e+02 | 38  0.05379 -1.18959e+02 | 39  0.03224 -1.23087e+02
 40  0.01551 -6.07104e+01 | 41 -0.04548 -3.99073e+01 | 42 -0.02054  1.13111e+01
 43  0.04348 -9.01120e+03 | 44  0.20660  7.11267e+02 | 45  0.08749 -2.34768e+01
 46  0.17433  6.12653e+02 | 47  0.13226  8.27125e+02 | 48  0.10261  5.91109e+02
 49  0.04190  7.36543e+01 | 50  0.07944 -2.36968e+02 | 51  0.07553 -8.92971e+01
 52  0.10951  2.39556e+02 | 53  0.14169 -4.92156e+02 | 54 -0.02030 -2.84853e+02
 55  0.11579 -1.81051e+03 | 56  0.00767 -2.81028e+02 | 57  0.15866 -6.33915e+02
 58  0.03346 -2.24077e+02 | 59  0.11367 -1.07487e+02 | 60  0.14189 -4.62458e+01
 61 -0.71207  2.78459e+01 | 62  0.15113 -1.14000e+02 | 63  0.12998  5.83069e+01
 64  0.11735 -4.81799e+02 | 65  0.08175 -2.49085e+02 | 66  0.21697 -8.15460e+02
 67 -0.04178 -3.40347e+02 | 68 -1.32118 -2.99710e+01 | 69 -1.12609 -1.12365e+01
 70 -0.77844  2.17512e+01 | 71  0.11539  6.80591e+03 | 72  0.10253 -1.60951e+03
 73  1.79326 -5.09075e+01 | 74 -0.77477  5.96468e+01 | 75 -0.86544 -2.83198e+02
 76 -0.31626 -7.82805e+02 | 77 -0.04147 -2.52528e+02 | 78 -0.11161  1.32258e+01
 79 -0.12163  7.66287e+01 | 80 -0.07171 -5.43560e+02 | 81 -0.08457 -2.68419e+02
 82 -0.00868 -1.63447e+02 | 83 -0.01377  1.24231e+01 | 84  0.06973  4.91873e+02
